id;id_index;kode_provinsi;nama_provinsi;kab_kota;nama_jembatan;periode_update;kategori;jumlah;satuan;tahun
6209;300282257;35;JAWA TIMUR;KABUPATEN SAMPANG;ASTAPAH I;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7462;300289775;35;JAWA TIMUR;KABUPATEN SAMPANG;ASTAPAH I;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
119;300245717;35;JAWA TIMUR;KABUPATEN MOJOKERTO;AWANG - AWANG;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1362;300260693;35;JAWA TIMUR;KABUPATEN MOJOKERTO;AWANG - AWANG;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
2615;300268211;35;JAWA TIMUR;KABUPATEN MOJOKERTO;AWANG - AWANG;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
3868;300253175;35;JAWA TIMUR;KABUPATEN MOJOKERTO;AWANG - AWANG;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5121;300275729;35;JAWA TIMUR;KABUPATEN MOJOKERTO;AWANG - AWANG;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6374;300283247;35;JAWA TIMUR;KABUPATEN MOJOKERTO;AWANG - AWANG;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
47;300245284;35;JAWA TIMUR;KABUPATEN LAMONGAN;BABADAN;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
1290;300260260;35;JAWA TIMUR;KABUPATEN LAMONGAN;BABADAN;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
2543;300267778;35;JAWA TIMUR;KABUPATEN LAMONGAN;BABADAN;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
3796;300252742;35;JAWA TIMUR;KABUPATEN LAMONGAN;BABADAN;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
5049;300275296;35;JAWA TIMUR;KABUPATEN LAMONGAN;BABADAN;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
6302;300282814;35;JAWA TIMUR;KABUPATEN LAMONGAN;BABADAN;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
90;300245543;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR I;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1333;300260519;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR I;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
2586;300268037;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR I;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
3839;300253001;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR I;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5092;300275555;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR I;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6345;300283073;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR I;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
91;300245549;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1334;300260525;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
2587;300268043;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
3840;300253007;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5093;300275561;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6346;300283079;35;JAWA TIMUR;KABUPATEN SIDOARJO;BABALAYAR II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1202;300252215;35;JAWA TIMUR;KABUPATEN SUMENEP;BABAN;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2455;300267251;35;JAWA TIMUR;KABUPATEN SUMENEP;BABAN;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3708;300274769;35;JAWA TIMUR;KABUPATEN SUMENEP;BABAN;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4961;300259733;35;JAWA TIMUR;KABUPATEN SUMENEP;BABAN;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6214;300282287;35;JAWA TIMUR;KABUPATEN SUMENEP;BABAN;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
